namecity,lat,lng,namecountry
Kabul,34.5253,69.1783,Afghanistan
Kandahar,31.6200,65.7158,Afghanistan
Cuvu,-18.1416,178.4419,Fiji
Herat,34.3419,62.2031,Afghanistan
Farah,32.3436,62.1194,Afghanistan
Mazar-e Sharif,36.7000,67.1167,Afghanistan
Lashkar Gah,31.5831,64.3692,Afghanistan
Kunduz,36.7286,68.8681,Afghanistan
Jalalabad,34.4342,70.4478,Afghanistan
Taluqan,36.7167,69.5167,Afghanistan
Shibirghan,36.6650,65.7520,Afghanistan
Zaranj,30.9600,61.8600,Afghanistan
Khost,33.3331,69.9169,Afghanistan
Maimanah,35.9333,64.7500,Afghanistan
Mehtar Lam,34.6683,70.2089,Afghanistan
Ghazni,33.5492,68.4233,Afghanistan
Paghman,34.5833,68.9500,Afghanistan
Pul-e Khumri,35.9500,68.7000,Afghanistan
Bamyan,34.8250,67.8333,Afghanistan
Charikar,35.0131,69.1689,Afghanistan
Tarin Kot,32.6267,65.8733,Afghanistan
Gardez,33.6000,69.2169,Afghanistan
Faizabad,37.1166,70.5800,Afghanistan
Qal`ah-ye Now,34.9867,63.1292,Afghanistan
Sar-e Pul,36.2214,65.9278,Afghanistan
Mahmud-e Raqi,35.0206,69.3306,Afghanistan
Asadabad,34.8742,71.1528,Afghanistan
Maidan Shahr,34.3972,68.8697,Afghanistan
Bazarak,35.3128,69.5158,Afghanistan
Pul-e `Alam,33.9808,69.0350,Afghanistan
Fayroz Koh,34.5225,65.2517,Afghanistan
Qalat,32.1061,66.9069,Afghanistan
Aibak,36.2653,68.0167,Afghanistan
Parun,35.4167,70.9169,Afghanistan
Sharan,33.1757,68.7304,Afghanistan
Nili,33.7218,66.1302,Afghanistan
Balkh,36.7581,66.8981,Afghanistan
Baghlan,36.1328,68.7000,Afghanistan
Bazar-e Yakawlang,34.7333,66.9667,Afghanistan
Ghoriyan,34.3400,61.4700,Afghanistan
Haskah Menah,34.1000,70.4667,Afghanistan
Aqchah,36.9114,66.1858,Afghanistan
